Alimento,Medida Caseira,Peso (g)
CAMARAO FRITO,Unidade pequena,5.0
CAMARAO FRITO,Unidade grande,60.0
CAMARAO FRITO,Unidade média,45.0
CANELONE DE RICOTA,Unidade grande,40.0
CANELONE DE RICOTA,Unidade média,30.0
CANELONE DE RICOTA,Unidade pequena,20.0
CANJA,Concháa média cháeia,130.0
CANJA,Concháa pequena cháeia,60.0
CANJA,Prato fundo,520.0
CANJICA,Concháa média cháeia,120.0
CANJICA,Colher de sopa cháeia,25.0
CANJICA,Copo duplo (240ml) (240ml),240.0
CANJICA,Copopchá,180.0
CANJICA,Prato fundo,460.0
CANJICA,Prato raso,300.0
CAQUI,Unidade grande,150.0
CAQUI,Unidade média,110.0
CAQUI,Unidade pequena,85.0
CARNE ASSADA,Fatia grande,135.0
CARNE ASSADA,Fitp,75.0
CARNE ENSOPADA,Colher de sopa cháeia,30.0
CARNE ENSOPADA,Colher de sopa rasa,20.0
CARNE ENSOPADA,Pedaço médio,35.0
CARNE ENSOPADA,Pedaço pequeno,20.0
COM LEGUMES,Colher de arroz cháeia,70.0
COM LEGUMES,Colher de arroz rasa,45.0
COM LEGUMES,Colher de sopa cháeia,35.0
CARNE MOIDA,Colher de sopa cheia,30.0
CARNE MOIDA,Colher de sopa rasa,20.0
CARNE MOIDA,Colher de arroz cheia,50.0
CARNE MOIDA,Porção média,100.0
CARNE MOIDA,Porção grande,150.0
CARNE SECA,Colher de arroz cháeia picado(a),28.0
CARNE SECA,Colher de sopa cháeia picado(a),18.0
CARNE SECA,Pedaço grande,130.0
CARNE SECA,Pedaço médio,65.0
CARNE SECA,Pedaço pequeno,20.0
CARRE,Unidade grande,120.0
CARRE,Unidade média,90.0
CARRE,Unidade pequena,60.0
TORRADA,Punhado,40.0
TORRADA,Unidade média,25.0
TORRADA,Unidade,80.0
CASTANHA DO PARA,Unidade,4.0
CEBOLA,Colher de sopa cháeia picado(a),10.0
CEBOLA,Fatia grande,10.0
CEBOLA,Fatia média,6.0
CEBOLA,Fatia pequena,4.0
CEBOLA,Unidade grande,150.0
CEBOLA,Unidade média,70.0
CEBOLA,Unidade pequena,30.0
CENOURA,Colher de sopa cháeia ralado(a),12.0
CENOURA,Unidade grande,160.0
CENOURA,Unidade média,120.0
CENOURA,Unidade pequena,55.0
CENOURA,Colher de arroz cháeia picado(a),40.0
CENOURA,Colher de sopa cháeia picado(a),25.0
CENOURA,Colsrpicada,15.0
CENOURA,Escumadeira média rasa picado(a),48.0
CENOURA REFOGADA,Colher de sopa cháeia picado(a),25.0
CENOURA REFOGADA,Colher de sopa rasa picado(a),25.0
TOSTADO,Unidade,25.0
AVEIA E MEL,Unidade,25.0
BANANA NUTRY,Unidade,25.0
AVEIA BANANA E MEL,Unidade,25.0
TRIO LIGHT FRUTAS,Copo duplo (240ml) (240ml),240.0
TRIO LIGHT FRUTAS,Copo pequeno (165ml),165.0
TRIO LIGHT FRUTAS,Garrafa G,600.0
TRIO LIGHT FRUTAS,Lata,350.0
TRIO LIGHT FRUTAS,Tulipa,290.0
CHEESEBURGUER,Unidade,140.0
CHICKEN MCNUGGETS,Cxa,110.0
CHICKEN MCNUGGETS,Unidade,180.0
CHICORIA,Folhag,17.0
CHICORIA,Folha média,12.0
CHICORIA,Folhap,70.0
CHICORIA REFOGADA,Colher de arroz cháeia,76.0
CHICORIA REFOGADA,Colher de arroz rasa,38.0
CHICORIA REFOGADA,Colher de sopa cháeia,25.0
CHICORIA REFOGADA,Colher de sopa rasa,20.0
CHICORIA REFOGADA,Escumadeira média cháeia,136.0
CHICORIA REFOGADA,Escumadeira média rasa,90.0
CHOCO CROC SUPERBOM,Colher de sopa cháeia,5.5
CHOCO CROC SUPERBOM,Copo duplo (240ml) (240ml),47.0
CHOCO CROC SUPERBOM,Copo pequeno (165ml),36.0
CHOCO CROC SUPERBOM,Pacoteg,300.0
CHOCO CROC SUPERBOM,Punhado,13.0
KELLOGG S,Colher de sopa cháeia,25.0
KELLOGG S,Copo pequeno (165ml),350.0
KELLOGG S,Pacote G,320.0
KELLOGG S,Ptrchá,35.0
KELLOGG S,Punhado,60.0
KELLOGG S,Bombom,130.0
KELLOGG S,Copo duplo (240ml) (240ml),51.0
KELLOGG S,Pacotep,35.0
KELLOGG S,Fatia grande,90.0
KELLOGG S,Fatia média,70.0
KELLOGG S,Fatia pequena,45.0
KELLOGG S,Pacoteg,200.0
KELLOGG S,Pacote P,250.0
KELLOGG S,Medida,44.0
AMARGO NESTLE,Barra G,200.0
E CAJU NESTLE,Barrag,180.0
E CAJU NESTLE,Barra P,40.0
E CAJU NESTLE,Unidade,320.0
CHOCOLATE COM LEITE E,Barra P,300.0
CHOCOLATE COM LEITE E,Barra G,180.0
CHOCOLATE COM LEITE E,Bombom,95.0
NEGRO,Barra P,300.0
CHOCOLATE EM PO,Col Caféé Ch,20.0
CHOCOLATE EM PO,Colher de cháá cháeia,4.0
CHOCOLATE EM PO,Colher de cháá rasa,5.0
CHOCOLATE EM PO,Colher de sopa cháeia,15.0
CHOCOLATE EM PO,Colher de sopa rasa,10.0
CHOCOLATE EM PO,Pote,210.0
CHOCOLATE EM PO,Barra G,200.0
CHOCOLATE EM PO,Barra P,30.0
CHOCOLATE LAKA,Barra G,200.0
CHOCOLATE LAKA,Barra P,30.0
CHOCOLATE LAKA,Unidade,30.0
BRANCO,Colher de arroz cháeia,65.0
BRANCO,Escumadeira média cháeia,80.0
BRANCO,Colher de sopa rasa picado(a),15.0
BRANCO,Escumadeira média cháeia picado(a),110.0
BRANCO,Pedaço médio,30.0
BRANCO,Unidade grande,310.0
BRANCO,Unidade pequena,145.0
CHUCHU REFOGADO,Colher de sopa rasa picado(a),15.0
DE PANELA,Colher de sopa cháeia,25.0
DE PANELA,Colher de sopa rasa,15.0
COCA COLA,Copo pequeno (165ml),165.0
COCA COLA,Lata,350.0
COCADA,Unidade média,70.0
COCO DA BAIA,Pedaço grande,75.0
COCO DA BAIA,Pedaço médio,400.0
COCO DA BAIA,Pedaço pequeno,150.0
COCO DA BAIA,Unidade média,325.0
COCO RALADO INDUSTR,Colher de cháá cháeia,15.0
COCO RALADO INDUSTR,Colher de cháá rasa,10.0
COCO RALADO INDUSTR,Colher de sopa cháeia,25.0
COCO RALADO INDUSTR,Colher de sopa rasa,25.0
COCO RALADO INDUSTR,Colher de sobremesa rasa,15.0
COCO RALADO INDUSTR,Pacote,50.0
CONSERVA,Colher de arroz cháeia,40.0
CONSERVA,Colher de arroz rasa,33.0
CONSERVA,Colher de sopa cháeia,27.0
CONSERVA,Colher de sopa rasa,16.0
CONSERVA,Escumadeira média,75.0
CONSERVA,Unidade grande,50.0
CONSERVA,Unidade média,30.0
COM NUTRIFERRO,Colher de sopa cháeia,25.0
COM NUTRIFERRO,Copo duplo (240ml) (240ml),30.0
COM NUTRIFERRO,Copo pequeno (165ml),250.0
COM NUTRIFERRO,Pacoteg,200.0
COM NUTRIFERRO,Pacotep,200.0
COM NUTRIFERRO,Punhado,90.0
COM NUTRIFERRO,Pedaço grande,60.0
COM NUTRIFERRO,Pedaço médio,40.0
COM NUTRIFERRO,Pedaço pequeno,30.0
COM NUTRIFERRO,Unidade grande,40.0
COM NUTRIFERRO,Unidade média,250.0
COM NUTRIFERRO,Colsrpicada,10.0
COM NUTRIFERRO,Folha média,250.0
COM NUTRIFERRO,Folhap,170.0
COUVE FLOR A MILANESA,Ramo G,140.0
COUVE FLOR A MILANESA,Colher de sopa cháeia picado(a),25.0
COUVE FLOR A MILANESA,Colher de sopa rasa Picada,15.0
RAMO G,Ramo M,60.0
RAMO G,Unidade grande,800.0
COXINHA DE GALINHA,Unidade média,50.0
COXINHA DE GALINHA,Unidade pequena,25.0
COXINHA DE GALINHA,Gq/Cream Cracker,75.0
COXINHA DE GALINHA,Gqipão De Forma,150.0
COXINHA DE GALINHA,Gq/Pão Francês,150.0
COXINHA DE GALINHA,Mq/Cream Cracker,35.0
COXINHA DE GALINHA,Mq/Pão De Forma,90.0
COXINHA DE GALINHA,Mq/Pão Francês,90.0
COXINHA DE GALINHA,Pq/Cream Cracker,15.0
COXINHA DE GALINHA,Pq/Pão De Forma,40.0
COXINHA DE GALINHA,Pq/Pão Francês,40.0
DANUBIO,Gq/Cream Cracker,75.0
DANUBIO,Gq/Pão De Forma,150.0
DANUBIO,Gq/Pão Francês,150.0
DANUBIO,Mq/Cream Cracker,35.0
