Alimento,Medida Caseira,Peso (g)
LARANJA C AC,Copo pequeno (165ml),165.0
REPOLHO,Colher de arroz cháeia picado(a),25.0
REPOLHO,Colher de arroz rasa picado(a),20.0
REPOLHO,Cols Eh Picado,100.0
REPOLHO,Colher de sopa rasa picado(a),25.0
REPOLHO,Escumadeira média cháeia picado(a),25.0
REPOLHO,Escumadeira média rasa picado(a),15.0
REPOLHO,Folhag,400.0
REPOLHO,Folha média,30.0
REPOLHO,Folha pequena,200.0
REPOLHO COZIDO,Colher de arroz cháeia picado(a),45.0
REPOLHO COZIDO,Colher de arroz rasa picado(a),35.0
REPOLHO COZIDO,Colher de sopa cháeia picado(a),20.0
REPOLHO COZIDO,Colher de sopa rasa picado(a),12.0
REPOLHO COZIDO,Escumadeira média cháeia picado(a),45.0
REPOLHO COZIDO,Folhag,340.0
REPOLHO COZIDO,Folha média,26.0
REPOLHO COZIDO,Folha pequena,180.0
REPOLHO COZIDO,Folhap,180.0
REQUEIJAO,Colher de sopa rasa,15.0
REQUEIJAO,Gq/Cream Cracker,120.0
REQUEIJAO,Gq/Pão De Forma,130.0
REQUEIJAO,Gq/Pão Francês,35.0
REQUEIJAO,Gq/Torradacomercial,130.0
REQUEIJAO,Mq/Pão De Forma,80.0
REQUEIJAO,Mqipão Francês,22.0
REQUEIJAO,Mq/Torrada Com,80.0
REQUEIJAO,Pq/Cream Cracker,30.0
REQUEIJAO,Pq/Pão De Forma,5.0
REQUEIJAO,Pq/Pão Francês,14.0
REQUEIJAO,Pq/Torrada Com,5.0
RICOTA,Fatia grande,50.0
RICOTA,Fatia média,35.0
RISOLE,Unidade grande,70.0
RISOLE,Unidade média,35.0
RISOLE,Unidade pequena,12.0
RISOTO DE FRANGO,Colher de sopa cháeia,25.0
RISOTO DE FRANGO,Colher de sopa rasa,15.0
RISOTO DE FRANGO,Escumadeira média cháeia,85.0
C MAIONESE,Colher de sopa cháeia,25.0
FRADINHO,Colher de arroz cháeia,57.0
FRADINHO,Colher de arroz rasa,30.0
FRADINHO,Colher de sopa cháeia,32.0
FRADINHO,Colher de sopa rasa,20.0
FRADINHO,Escumadeira média cháeia,90.0
SALADA DE FRUTAS,Colher de sopa cháeia,25.0
SALADA DE FRUTAS,Copo duplo (240ml) (240ml),210.0
SALADA DE FRUTAS,Copo pequeno (165ml),150.0
SALADA DE FRUTAS,Colher de arroz cháeia,55.0
SALADA DE FRUTAS,Colher de arroz rasa,40.0
SALADA DE FRUTAS,Escumadeira média cháeia,90.0
SALADA DE FRUTAS,Lesc Mr,60.0
COM MAIONESE,Colher de arroz cháeia,70.0
COM MAIONESE,Colher de sopa cháeia,25.0
SALAME,Fatia média,200.0
SALAMINHO,Fatia média,50.0
SALAMINHO,Colher de arroz cháeia,40.0
SALAMINHO,Colher de arroz rasa,25.0
SALAMINHO,Colher de sopa rasa,20.0
SALAMINHO,Escumadeira média cháeia,50.0
SALAMINHO,Escumadeira média rasa,30.0
SALAMINHO,Prato de sobremesa,140.0
SALSICHA EM LATA,Unidade média,350.0
SANDUICHE DE FRANGO,Unidade média,1200.0
LATAP,Unidade média,330.0
LATAP,Unidade grande,40.0
LATAP,Unidade pequena,130.0
SIRI,Poá P,30.0
SIRI,Unidade pequena,160.0
SIRI,Pote,150.0
SIRI,Concháa média cháeia,130.0
SIRI,Concháa pequena cháeia,60.0
SIRI,Prato fundo,520.0
SIRI,Prato raso,325.0
IVCOM CARNE,Concháa média cháeia,130.0
IVCOM CARNE,Concháa pequena cháeia,60.0
IVCOM CARNE,Prato raso,325.0
BOLA G,Bola M,80.0
BOLA G,Colher de sopa cháeia,25.0
SORVETE ESKIBON,Unidade,48.0
CROCANTE E BAUNILHA,Unidade,710.0
SOYMILKE PO,Colher de sopa rasa,25.0
STROGONOFF DE CARNE,Concháa média cháeia,170.0
STROGONOFF DE CARNE,Colher de arroz cháeia,40.0
STROGONOFF DE CARNE,Colher de sopa cháeia,25.0
FRANGO,Concháa média cháeia,170.0
FRANGO,Colher de arroz cháeia,40.0
SUCO DE ABACAXI C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE ABACAXI C AC,Copo pequeno (165ml),165.0
SUCO DE ACEROLA C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE ACEROLA C AC,Copo pequeno (165ml),165.0
SUCO DE BETERRABA C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE BETERRABA C AC,Copo pequeno (165ml),165.0
SUCO DE CUPUACU C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE CUPUACU C AC,Copo pequeno (165ml),165.0
SUCO DE CUPUACU C AC,Copop Ch,165.0
SUCO DE LARANJA C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE LARANJA C AC,Copo pequeno (165ml),165.0
BANANA C AC,Copo duplo (240ml) (240ml),240.0
BETERRABA C AC,Copo duplo (240ml) (240ml),240.0
E CENOURA,Copo duplo (240ml) (240ml),240.0
CENOURA C AC,Copo duplo (240ml) (240ml),240.0
CENOURA C AC,Copo pequeno (165ml),165.0
E BETERRABA C AC,Copo duplo (240ml) (240ml),240.0
E BETERRABA C AC,Copo pequeno (165ml),165.0
SUCO DE MAMAO C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE MAMAO C AC,Copo pequeno (165ml),165.0
SUCO DE MANGA C AC,Copo duplo (240ml) (240ml),240.0
SUCO DE MANGA C AC,Copo pequeno (165ml),165.0
SUCO DE MARACUJA,Copo duplo (240ml) (240ml),240.0
SUCO DE MARACUJA,Copo pequeno (165ml),165.0
SUFLE DE LEGUMES,Colher de arroz cháeia,85.0
SUFLE DE LEGUMES,Colher de sopa cháeia,25.0
SUFLE DE QUEIJO,Pedaço grande,1200.0
SUFLE DE QUEIJO,Pedaço médio,90.0
SUFLE DE QUEIJO,Pedaço pequeno,700.0
SUSPIRO,Unidade grande,60.0
SUSPIRO,Unidade média,1060.0
SUSTAGEN,Colher de cháá cháeia,7.0
SUSTAGEN,Colher de cháá rasa,5.0
SUSTAGEN,Colher de sopa cháeia,18.0
SUSTAGEN,Colher de sopa rasa,25.0
TANGERINA,Gomo M,1060.0
TANGERINA,Unidade média,1350.0
TOMATE,Fatia média,20.0
TOMATE,Fatia fina,10.0
TOMATE,Fatia grossa,30.0
TOMATE,Unidade média,100.0
TOMATE,Unidade pequena,60.0
TOMATE,Unidade grande,150.0
TOMATE,Rodela média,15.0
TORTA DE LIMAO,Fatia grande,120.0
TORTA DE LIMAO,Fatia média,85.0
TORTA DE LIMAO,Fatia pequena,60.0
MCDONALD S,Unidade,85.0
MCDONALD S,Concháa média cháeia,190.0
MCDONALD S,Colher de arroz cháeia,85.0
MCDONALD S,Colher de arroz rasa,50.0
MCDONALD S,Colher de sopa cháeia,35.0
MCDONALD S,Escumadeira média cháeia,140.0
MCDONALD S,Prato raso,280.0
UISQUE,Dose,50.0
UVA PASSA,Colher de sopa cháeia,18.0
UVA PASSA,Colher de sopa rasa,25.0
UVA PASSA,Copo pequeno (165ml),1250.0
UVA PASSA,Punhado,240.0
UVA PASSA,Unidade,3.0
VAGEM COZIDA,Colher de sopa cháeia,20.0
VAGEM COZIDA,Colher de sopa rasa,15.0
VAGEM REFOGADA,Colher de arroz cháeia,73.0
VAGEM REFOGADA,Colher de arroz rasa,45.0
VAGEM REFOGADA,Colher de sopa cháeia,35.0
VAGEM REFOGADA,Colher de sopa rasa,15.0
VINHO,Copo duplo (240ml) (240ml),240.0
VINHO,Copo pequeno (165ml),165.0
VINHO,Caneca,300.0
VINHO,Unidade,80.0
ARROZ COZIDO,Colher de sopa cheia,25.0
ARROZ COZIDO,Colher de sopa rasa,15.0
ARROZ COZIDO,Colher de arroz cheia,45.0
ARROZ COZIDO,Colher de arroz rasa,30.0
ARROZ COZIDO,Escumadeira média cheia,85.0
ARROZ COZIDO,Escumadeira média rasa,60.0
ARROZ COZIDO,1/2 Concha média,60.0
ARROZ COZIDO,Concha média cheia,100.0
ARROZ COZIDO,Prato raso,250.0
ARROZ BRANCO COZIDO,Colher de sopa cheia,25.0
ARROZ BRANCO COZIDO,Colher de sopa rasa,15.0
ARROZ BRANCO COZIDO,Colher de arroz cheia,45.0
ARROZ BRANCO COZIDO,Colher de arroz rasa,30.0
ARROZ BRANCO COZIDO,Escumadeira média cheia,85.0
ARROZ BRANCO COZIDO,Escumadeira média rasa,60.0
ARROZ BRANCO COZIDO,1/2 Concha média,60.0
ARROZ BRANCO COZIDO,Concha média cheia,100.0
ARROZ BRANCO COZIDO,Prato raso,250.0
FEIJAO COZIDO,Concha média cheia,140.0
FEIJAO COZIDO,Concha média rasa,85.0
FEIJAO COZIDO,Concha pequena cheia,90.0
FEIJAO COZIDO,Colher de sopa cheia,25.0
FEIJAO COZIDO,Colher de sopa rasa,16.0
FEIJAO CARIOCA COZIDO,Concha média cheia,140.0
FEIJAO CARIOCA COZIDO,Concha média rasa,85.0
FEIJAO CARIOCA COZIDO,Concha pequena cheia,90.0
FEIJAO CARIOCA COZIDO,Colher de sopa cheia,25.0
FEIJAO CARIOCA COZIDO,Colher de sopa rasa,16.0
FEIJAO PRETO COZIDO,Concha média cheia,140.0
FEIJAO PRETO COZIDO,Concha média rasa,85.0
FEIJAO PRETO COZIDO,Concha pequena cheia,90.0
FEIJAO PRETO COZIDO,Colher de sopa cheia,25.0
FEIJAO PRETO COZIDO,Colher de sopa rasa,16.0
PATINHO MOIDO,Colher de sopa cheia,30.0
PATINHO MOIDO,Colher de sopa rasa,20.0
PATINHO MOIDO,Colher de arroz cheia,50.0
PATINHO MOIDO,Porção média,100.0
PATINHO MOIDO,Porção grande,150.0
